year_film,year_ceremony,ceremony,category,name,film,winner,imdb_rating,box_office
2010,2011,83,BEST PICTURE,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",The Fighter,False,7.8,"$93,617,009"
2010,2011,83,BEST PICTURE,"Emma Thomas and Christopher Nolan, Producers",Inception,False,8.8,"$292,587,330"
2010,2011,83,BEST PICTURE,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",The Kids Are All Right,False,,
2010,2011,83,BEST PICTURE,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",The King's Speech,True,,
2010,2011,83,BEST PICTURE,"Christian Colson, Danny Boyle and John Smithson, Producers",127 Hours,False,,
2010,2011,83,BEST PICTURE,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers",The Social Network,False,,
2010,2011,83,BEST PICTURE,"Darla K. Anderson, Producer",Toy Story 3,False,8.3,"$415,004,880"
2010,2011,83,BEST PICTURE,"Scott Rudin, Ethan Coen and Joel Coen, Producers",True Grit,False,,
2010,2011,83,BEST PICTURE,"Anne Rosellini and Alix Madigan-Yorkin, Producers",Winter's Bone,False,,
2011,2012,84,ACTOR IN A LEADING ROLE,Demián Bichir,A Better Life,False,7.2,"$1,759,252"
2011,2012,84,ACTOR IN A LEADING ROLE,George Clooney,The Descendants,False,7.3,"$82,584,160"
2011,2012,84,ACTOR IN A LEADING ROLE,Jean Dujardin,The Artist,True,7.8,"$44,671,682"
2011,2012,84,ACTOR IN A LEADING ROLE,Gary Oldman,Tinker Tailor Soldier Spy,False,7.0,"$24,149,393"
2011,2012,84,ACTOR IN A LEADING ROLE,Brad Pitt,Moneyball,False,7.6,"$75,605,492"
2011,2012,84,ACTRESS IN A LEADING ROLE,Glenn Close,Albert Nobbs,False,6.7,"$3,014,696"
2011,2012,84,ACTRESS IN A LEADING ROLE,Viola Davis,The Help,False,8.1,"$169,708,112"
2011,2012,84,ACTRESS IN A LEADING ROLE,Rooney Mara,The Girl with the Dragon Tattoo,False,7.8,"$102,515,793"
2011,2012,84,ACTRESS IN A LEADING ROLE,Meryl Streep,The Iron Lady,True,6.4,"$30,017,992"
2011,2012,84,ACTRESS IN A LEADING ROLE,Michelle Williams,My Week with Marilyn,False,6.9,"$14,600,347"
2011,2012,84,BEST PICTURE,"Thomas Langmann, Producer",The Artist,True,,
2011,2012,84,BEST PICTURE,"Jim Burke, Alexander Payne and Jim Taylor, Producers",The Descendants,False,,
2011,2012,84,BEST PICTURE,"Scott Rudin, Producer",Extremely Loud & Incredibly Close,False,6.9,"$31,847,881"
2011,2012,84,BEST PICTURE,"Brunson Green, Chris Columbus and Michael Barnathan, Producers",The Help,False,,
2011,2012,84,BEST PICTURE,"Graham King and Martin Scorsese, Producers",Hugo,False,7.5,"$73,864,507"
2011,2012,84,BEST PICTURE,"Letty Aronson and Stephen Tenenbaum, Producers",Midnight in Paris,False,7.6,"$56,817,045"
2011,2012,84,BEST PICTURE,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers",Moneyball,False,,
2011,2012,84,BEST PICTURE,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers",The Tree of Life,False,6.8,"$13,303,319"
2011,2012,84,BEST PICTURE,"Steven Spielberg and Kathleen Kennedy, Producers",War Horse,False,7.2,"$79,884,879"
2012,2013,85,ACTOR IN A LEADING ROLE,Bradley Cooper,Silver Linings Playbook,False,7.7,"$132,092,958"
2012,2013,85,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Lincoln,True,7.8,"$182,207,973"
2012,2013,85,ACTOR IN A LEADING ROLE,Hugh Jackman,Les Misérables,False,7.5,"$149,260,140"
2012,2013,85,ACTOR IN A LEADING ROLE,Joaquin Phoenix,The Master,False,7.1,"$16,377,274"
2012,2013,85,ACTOR IN A LEADING ROLE,Denzel Washington,Flight,False,5.3,"$93,772,375"
2012,2013,85,ACTRESS IN A LEADING ROLE,Jessica Chastain,Zero Dark Thirty,False,7.4,"$95,720,716"
2012,2013,85,ACTRESS IN A LEADING ROLE,Jennifer Lawrence,Silver Linings Playbook,True,,
2012,2013,85,ACTRESS IN A LEADING ROLE,Emmanuelle Riva,Amour,False,7.9,"$6,739,492"
2012,2013,85,ACTRESS IN A LEADING ROLE,Quvenzhané Wallis,Beasts of the Southern Wild,False,7.2,"$12,795,746"
2012,2013,85,ACTRESS IN A LEADING ROLE,Naomi Watts,The Impossible,False,,"$19,019,882"
2012,2013,85,BEST PICTURE,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers",Amour,False,,
2012,2013,85,BEST PICTURE,"Grant Heslov, Ben Affleck and George Clooney, Producers",Argo,True,7.7,"$136,025,503"
2012,2013,85,BEST PICTURE,"Dan Janvey, Josh Penn and Michael Gottwald, Producers",Beasts of the Southern Wild,False,,
2012,2013,85,BEST PICTURE,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers",Django Unchained,False,8.5,"$162,805,434"
2012,2013,85,BEST PICTURE,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers",Les Misérables,False,,
2012,2013,85,BEST PICTURE,"Gil Netter, Ang Lee and David Womark, Producers",Life of Pi,False,7.9,"$124,987,023"
2012,2013,85,BEST PICTURE,"Steven Spielberg and Kathleen Kennedy, Producers",Lincoln,False,,
2012,2013,85,BEST PICTURE,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers",Silver Linings Playbook,False,,
2012,2013,85,BEST PICTURE,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers",Zero Dark Thirty,False,,
2013,2014,86,ACTOR IN A LEADING ROLE,Christian Bale,American Hustle,False,7.2,"$150,117,807"
2013,2014,86,ACTOR IN A LEADING ROLE,Bruce Dern,Nebraska,False,7.7,"$17,654,912"
2013,2014,86,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,The Wolf of Wall Street,False,8.2,"$116,900,694"
2013,2014,86,ACTOR IN A LEADING ROLE,Chiwetel Ejiofor,12 Years a Slave,False,8.1,"$56,671,993"
2013,2014,86,ACTOR IN A LEADING ROLE,Matthew McConaughey,Dallas Buyers Club,True,7.9,"$27,298,285"
2013,2014,86,ACTRESS IN A LEADING ROLE,Amy Adams,American Hustle,False,,
2013,2014,86,ACTRESS IN A LEADING ROLE,Cate Blanchett,Blue Jasmine,True,7.3,"$33,405,481"
2013,2014,86,ACTRESS IN A LEADING ROLE,Sandra Bullock,Gravity,False,7.7,"$274,092,705"
2013,2014,86,ACTRESS IN A LEADING ROLE,Judi Dench,Philomena,False,7.6,"$37,709,979"
2013,2014,86,ACTRESS IN A LEADING ROLE,Meryl Streep,August: Osage County,False,7.2,"$37,738,810"
2013,2014,86,BEST PICTURE,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",American Hustle,False,,
